Gender,Age,Religion,Attachment_religion,Living_arrangement,Living_with,Reason_for_living,Marital_status,Undergraduate_MSP,Financial_income,How_frequent,Source_of_income,Transactional_sex,Friends_engagement_in_MSP,MSP_in_school,Had_sexual_intercourse,Age_at_sexual_debut,Who_was_the_person,How_many_partners,age_group,agecat_of_sexual_intercourse,msp_kpi
1,24,1,1,2,5,Privacy,1,0,2,2,2,0,2,1,0,,,,2,,0
1,26,1,1,2,5,Privacy,1,0,2,2,3,1,3,1,1,25,2,1,3,2,0
2,23,2,1,2,2,Money,2,0,2,1,2,0,1,1,0,,,,2,,0
1,25,2,2,2,5,Privacy,1,0,2,1,3,0,1,1,1,20,2,1,3,2,0
2,21,1,2,2,5,Privacy,1,0,2,1,3,0,2,1,1,18,2,1,2,1,0
1,27,2,1,2,2,Family,1,0,2,2,3,0,3,0,0,,,,3,,0
2,20,1,1,2,2,Family,1,0,2,1,2,0,3,1,1,19,2,2,2,1,1
2,20,2,1,1,2,School hostel,1,0,2,2,3,0,1,1,0,,,,2,,0
1,24,1,1,2,3,Spouse,2,0,1,1,2,0,1,1,1,24,1,1,2,2,0
1,27,1,1,2,2,Not to feel lonely,1,0,2,1,3,0,3,1,1,20,2,1,3,2,0
2,23,2,2,2,2,She is my friend duh,1,0,2,1,3,0,2,0,1,20,2,2,2,2,1
1,19,1,1,2,5,Cannot bear to live with someone,1,0,2,1,3,0,2,0,1,16,2,2,1,1,1
1,36,1,1,1,4,Likes each other,1,1,2,1,3,0,3,1,0,,,,3,,0
1,28,1,2,2,2,Course mate,1,0,2,1,2,0,3,1,1,19,2,1,3,1,0
2,18,2,1,2,5,I stay alone,1,0,2,1,3,0,1,1,0,,,,1,,0
1,20,1,1,2,2,Nothing,1,1,2,2,2,0,3,1,0,,,,2,,0
2,23,2,2,2,2,Bcus I can't afford the house rent alone,1,0,1,2,3,0,2,1,1,18,2,1,2,1,0
1,28,1,1,1,2,Hostel mates are necessary since its designed to accommodate more than one person,1,0,1,1,3,0,3,1,1,20,2,1,3,2,0
1,20,2,1,2,2,Conditions oo,1,0,2,1,3,0,3,1,0,,,,2,,0
2,19,1,1,1,2,I am living with my roommates because I stay in the hostel,1,0,2,1,3,0,1,1,0,,,,1,,0
1,25,1,1,1,2,"Because of the financial challenge, as at present cannot afford to rent an apartment",1,0,2,1,2,0,1,1,0,,,,3,,0
2,22,2,2,2,2,I'm leaving with her because we got the apartment together,1,1,2,1,3,0,3,1,1,21,2,1,2,2,0
1,28,1,1,2,2,We are friends of the same character,1,1,2,1,3,0,3,1,1,25,2,1,3,2,0
2,18,2,1,1,5,I live alone because I love my privacy,1,1,2,1,3,0,1,1,1,16,2,1,1,1,0
1,21,1,1,2,1,Family,1,1,2,1,3,0,3,1,0,,,,2,,0
1,25,1,1,2,2,There's no other place for him to stay at that time,1,0,1,2,3,0,1,1,1,19,2,2,3,1,1
2,20,2,1,2,2,To split the money in half,1,0,2,1,3,0,1,1,0,,,,2,,0
1,24,1,1,2,2,Because we're friends,1,1,2,1,3,0,3,1,0,,,,2,,0
2,20,1,2,2,5,Cause where I stay is a bit distant to campus so I stay alone,1,0,2,2,3,0,3,1,0,,,,2,,0
1,25,1,1,2,1,No reason,1,0,2,1,2,0,1,1,0,,,,3,,0
1,25,1,1,2,2,Family friend,1,1,2,1,3,0,2,1,0,,,,3,,0
1,26,1,2,2,5,School,1,0,2,1,2,0,1,1,1,23,2,1,3,2,0
1,22,2,2,2,2,I can't afford to rent an apartment alone,1,0,2,2,3,0,3,0,0,,,,2,,0
1,24,1,1,2,5,I love my individual privacy,1,1,2,2,2,0,3,1,1,20,2,2,2,2,1
1,25,2,2,2,2,Finance,1,0,2,2,3,0,3,0,1,15,2,2,3,1,1
2,25,2,1,2,2,We are sent out of the campus,1,0,2,1,3,0,3,1,0,,,,3,,0
1,23,1,1,2,5,I value my privacy,1,0,2,2,2,0,1,1,1,18,2,2,2,1,1
1,25,2,1,2,5,Nil,1,0,2,1,2,0,3,1,1,20,2,1,3,2,0
2,19,1,2,1,1,They are my parents.,1,0,2,1,3,0,3,1,0,,,,1,,0
1,22,2,1,2,5,Privacy,1,0,2,1,2,0,3,0,1,16,2,1,2,1,0
2,24,1,1,2,5,I like to live alone in school,2,0,1,1,3,0,1,1,1,24,1,1,2,2,0
1,27,1,1,2,2,We're friends/course mates,1,0,2,1,2,0,1,1,0,,,,3,,0
2,20,2,1,1,2,Because I'm in school,1,0,2,1,3,0,3,1,0,,,,2,,0
2,23,1,1,2,5,I did not get accommodation on campus,1,0,1,2,3,0,1,1,0,,,,2,,0
2,21,1,1,2,1,Because I'm still single,1,0,2,2,2,0,3,1,0,,,,2,,0
2,20,2,1,1,4,I live in an hostel with 3 people per room. It's mandatory,1,0,2,1,3,0,1,1,0,,,,2,,0
2,22,1,1,1,1,I'm living with my parent because of the closure of school,1,0,2,1,3,0,1,0,0,,,,2,,0
1,27,2,2,1,2,I am currently living with my roommate because that is the way the hostel is being designed,1,0,1,2,3,0,1,0,1,25,2,1,3,2,0
2,23,2,1,2,5,I'm leaving alone because I?m in school but at home I stay with my parents,1,0,2,1,3,0,2,1,1,18,2,1,2,1,0
1,24,1,1,2,5,Because am no more a kid,1,0,2,1,2,0,3,1,1,21,2,2,2,2,1
2,21,2,1,2,1,That's my preferred arrangement,1,0,2,1,3,1,3,0,1,16,2,2,2,1,1
1,27,1,2,2,5,Because I'm an OAU student currently,1,0,1,2,3,0,3,1,0,,,,3,,0
1,21,1,1,1,1,Got no other place,1,0,1,2,3,0,2,1,1,20,2,1,2,2,0
2,23,1,1,1,2,School as choose,1,0,1,2,2,0,3,0,0,,,,2,,0
1,18,1,1,2,2,They are my friends,1,1,2,1,3,0,3,1,0,,,,1,,0
2,26,2,1,2,5,For privacy,1,0,1,2,2,0,1,1,0,,,,3,,0
2,19,2,1,2,2,She is the one of the best people i met on this campus,1,0,2,1,3,0,1,1,0,,,,1,,0
1,25,2,2,2,5,To protect my privacy,1,0,2,1,2,0,2,1,1,18,3,2,3,1,1
2,30,2,1,2,3,He is my husband,2,0,2,1,2,0,1,1,1,18,1,1,3,1,0
2,29,2,1,2,1,No answer,1,0,2,1,3,0,1,1,0,,,,3,,0
1,24,2,2,2,5,Privacy,1,0,1,2,3,0,3,0,1,21,2,1,2,2,0
1,25,1,1,2,2,I'm living with him because he's a close friend and religiously sound.,1,0,1,1,3,0,2,1,0,,,,3,,0
2,29,2,1,2,2,I don't want to be lonely,1,1,2,1,2,0,1,1,1,20,2,2,3,2,1
1,30,2,2,2,5,Living alone because I love privacy,1,0,2,1,3,1,1,1,1,25,2,1,3,2,0
1,25,1,1,2,5,Privacy,1,0,2,1,2,0,2,1,0,,,,3,,0
1,24,1,1,2,2,School mate,1,0,1,2,3,0,2,1,0,,,,2,,0
1,22,2,2,1,2,Hostel,1,1,2,1,3,0,2,0,1,19,2,2,2,1,1
1,20,2,2,2,5,No one,1,0,2,2,2,1,3,0,1,15,2,1,2,1,0
1,20,2,2,2,2,Because we are in the same department.,1,1,2,1,3,0,3,0,0,,,,2,,0
2,21,2,1,2,5,I need privacy,1,0,2,1,3,0,3,1,1,18,2,1,2,1,0
2,20,2,1,2,5,Privacy,1,0,2,2,2,0,3,1,1,20,2,1,2,2,0
1,25,1,1,2,5,Student,1,0,2,1,3,0,1,1,0,,,,3,,0
1,23,1,1,1,2,HE IS A FRIEND,1,1,1,1,3,0,1,1,0,,,,2,,0
1,20,2,1,1,2,FINANCE & INSECURITY,1,0,1,2,3,0,1,1,0,,,,2,,0
1,20,1,2,2,1,I Am from ife...,1,0,1,1,2,0,1,1,0,,,,2,,0
1,23,2,2,2,5,I just feel like,1,1,1,2,2,0,3,0,1,17,2,2,2,1,1
1,21,2,1,2,2,Social custom,1,0,2,2,3,0,1,1,0,,,,2,,0
1,20,2,1,2,2,I love staying alone,1,0,2,1,3,0,2,0,1,16,2,1,2,1,0
1,20,2,1,2,5,"I also like to be alone, i don't have strength to fight",1,0,2,1,3,0,2,0,1,16,2,2,2,1,1
1,21,2,1,2,2,we have value in common,1,1,2,1,3,1,3,1,1,19,2,1,2,1,0
1,20,2,1,1,2,Nil,1,0,2,1,3,0,1,1,0,,,,2,,0
1,18,2,2,1,2,Cause i'm in hostel & there is no choice,1,0,2,2,3,0,1,1,0,,,,1,,0
1,21,2,1,1,2,As per roommate we can't  choose who we are to stay with on campus,1,0,2,1,3,0,1,1,1,17,2,1,2,1,0
2,22,1,1,2,5,Because i enjoy my alone time,1,0,2,2,3,0,1,1,0,,,,2,,0
1,25,2,2,2,5,Nil,1,0,2,1,3,0,2,0,1,15,2,2,3,1,1
1,20,2,1,1,2,They are the roommate school gave me,1,0,2,2,3,0,2,0,0,,,,2,,0
1,20,2,1,2,2,So we can share rent,1,0,2,1,3,0,2,0,1,18,2,1,2,1,0
1,21,2,1,2,5,Personal reasons,1,0,2,1,3,0,2,1,1,19,2,1,2,1,0
1,19,2,2,1,2,I use him even though he is an asshole,1,0,1,2,3,0,2,1,0,,,,1,,0
1,21,2,1,1,2,Sch authority paired us together in hostel,1,0,2,1,3,0,1,1,0,,,,2,,0
1,21,2,1,1,2,Because...,1,0,2,1,3,1,2,0,1,12,2,2,2,1,1
1,24,2,1,2,2,He is my friend,1,1,2,2,3,0,1,1,0,,,,2,,0
1,21,2,1,1,2,Because i love to,1,0,2,1,3,1,2,0,1,12,2,2,2,1,1
1,20,2,2,2,2,I don't have a specific reason,1,1,2,1,3,0,3,0,0,,,,2,,0
1,27,1,1,2,1,Cause there are my parent,1,1,2,1,3,0,1,1,0,,,,3,,0
2,21,1,1,1,2,Staying in school hostel,1,0,2,1,3,0,3,1,0,,,,2,,0
1,23,1,2,1,2,Same department,1,1,2,2,3,0,1,1,0,,,,2,,0
1,21,1,1,2,1,I'm staying with my parent,1,1,2,2,2,0,2,0,1,19,2,1,2,1,0
2,21,1,2,1,2,Campus life,1,0,2,2,3,1,2,1,1,16,2,1,2,1,0
2,21,1,2,1,2,Campus lifestyle,1,0,2,2,3,1,2,1,1,16,2,1,2,1,0
2,18,2,1,2,4,I love him so we decide to stay together,1,0,2,1,3,0,2,1,1,18,2,1,1,1,0
2,20,2,1,2,1,Living with mummy & daddy,1,0,1,2,2,1,2,0,1,16,2,2,2,1,1
1,27,3,2,2,4,My decision,1,0,2,1,3,1,2,0,1,17,2,2,3,1,1
1,20,1,1,1,2,I have compulsory roommates as a hostel person,1,0,1,2,3,0,2,1,0,,,,2,,0
2,23,2,1,2,1,Nil,1,0,1,2,2,0,3,1,0,,,,2,,0
1,19,1,1,2,2,Nil,1,0,2,1,3,0,2,1,1,18,2,1,1,1,0
2,17,2,2,2,1,My mummy want me to live with them,1,0,1,2,3,0,2,0,0,,,,1,,0
2,25,1,1,2,3,He's my husband,2,0,2,1,2,0,3,1,1,24,1,1,3,2,0
2,17,1,1,1,2,Nil,1,0,2,1,3,0,2,1,0,,,,1,,0
1,33,2,1,2,5,Nothing,1,0,2,1,2,0,2,1,0,,,,3,,0
1,24,2,1,2,2,Nil,1,0,2,1,2,0,3,0,1,20,2,2,2,2,1
1,26,2,2,2,5,I love privacy,1,0,2,1,3,0,3,0,1,17,2,2,3,1,1
1,27,1,2,2,5,I don't want roommate,1,0,2,2,2,0,3,1,0,,,,3,,0
2,26,2,1,2,5,I just want to,1,0,2,2,3,0,1,1,0,,,,3,,0
2,17,2,1,2,1,They are y relatives,1,0,1,2,3,0,1,1,0,,,,1,,0
2,20,2,1,2,2,Not enough money to live alone,1,0,2,2,3,0,3,1,0,,,,2,,0
2,22,2,1,2,2,I can't just live alone,1,0,1,2,3,0,3,1,1,18,2,1,2,1,0
1,26,2,1,2,5,I love my privacy,1,0,1,2,2,0,3,1,0,,,,3,,0
1,28,2,2,2,2,No money to live alone,1,0,2,1,2,0,3,1,1,22,2,1,3,2,0
1,21,1,2,1,1,Nil,1,0,2,1,3,0,3,0,0,,,,2,,0
1,21,2,1,2,5,Because of privacy and convinience,1,1,2,1,2,0,1,0,1,15,2,2,2,1,1
1,23,2,1,2,5,Nothing,1,0,2,1,2,0,1,0,1,20,2,1,2,2,0
1,21,2,1,1,1,They are my parent,1,0,1,2,3,0,1,1,0,,,,2,,0
1,18,2,1,1,2,School hostel roommate,1,0,2,1,3,0,3,1,0,,,,1,,0
1,22,2,2,1,2,They are my roommate,1,0,2,2,2,0,3,1,0,,,,2,,0
1,24,2,1,2,2,To save the cost of having rent house separately,1,0,2,1,2,0,1,1,0,,,,2,,0
1,22,2,1,1,2,Because we are related,1,0,1,2,2,0,3,1,0,,,,2,,0
1,20,1,2,2,2,Nil,1,0,2,1,3,0,2,1,1,18,2,1,2,1,0
1,22,2,2,1,2,Nil,1,0,2,1,2,0,3,0,1,19,2,1,2,1,0
1,22,2,2,1,1,No reason,1,1,1,2,3,0,3,0,1,19,2,1,2,1,0
1,20,2,1,1,2,Friends,1,0,2,1,3,0,3,0,0,,,,2,,0
1,27,2,1,1,2,To help interact with regards to help each other to improve in our academics,1,1,2,2,3,0,1,0,1,13,2,1,3,1,0
1,22,2,1,2,5,I prefer living alone,1,0,2,1,3,0,1,1,0,,,,2,,0
1,19,1,1,1,2,I prefer to stay with friends rather than being alone,1,1,2,2,2,0,1,0,1,18,2,1,1,1,0
1,23,2,1,1,1,My parents,1,1,2,2,3,0,1,1,1,11,2,1,2,1,0
1,22,2,2,2,2,I had no choice,1,0,2,1,3,0,2,0,1,17,2,1,2,1,0
1,22,2,1,2,2,Nothing,1,0,2,2,3,0,3,1,0,,,,2,,0
1,25,1,1,1,2,Schooling,1,0,2,2,3,0,2,1,0,,,,3,,0
1,21,2,1,1,1,I am still in school studying,1,0,2,1,3,1,2,1,0,,,,2,,0
1,25,2,2,2,5,Cause i have an apartment off k,1,0,2,1,2,1,3,1,1,14,2,2,3,1,1
1,32,2,1,1,5,I can conveniently support myself,1,0,2,1,2,0,1,1,0,,,,3,,0
1,21,2,1,2,5,My personal reason,1,0,2,1,2,0,3,1,1,15,2,1,2,1,0
1,23,2,1,2,1,He is my brother,1,0,2,1,3,1,3,1,1,14,2,2,2,1,1
1,21,1,1,1,2,"We need to help ourselves, care & share love.",1,1,2,2,2,0,1,0,0,,,,2,,0
1,19,2,1,1,2,I'm living with my roommate,1,0,2,1,3,0,1,1,0,,,,1,,0
1,22,1,1,2,5,So my girlfriend can be free to come,1,0,2,1,2,0,2,0,1,15,2,2,2,1,1
1,19,2,1,2,2,Because i feel like,1,1,1,2,2,0,3,1,1,14,2,2,1,1,1
1,19,2,1,1,2,We became roommates,1,0,2,2,3,0,3,0,0,,,,1,,0
2,22,2,1,1,1,She is my sister and i like company,1,0,2,1,3,0,1,1,0,,,,2,,0
1,30,1,1,2,2,Is because of money,1,1,1,2,3,0,1,1,1,28,2,1,3,2,0
1,23,2,1,1,2,Conditions,1,1,2,1,3,0,1,1,1,15,2,1,2,1,0
2,21,2,1,1,2,Nil,1,0,2,1,3,0,1,1,0,,,,2,,0
2,20,2,1,1,1,They are my parent,1,0,2,2,3,0,1,1,0,,,,2,,0
2,20,2,1,2,2,Because of school,1,0,1,2,3,0,1,0,0,,,,2,,0
2,29,2,1,2,5,Privacy,1,0,2,1,2,0,3,1,1,19,2,1,3,1,0
2,34,2,1,2,5,Am mature enough to do,2,0,2,1,2,0,1,1,1,18,2,1,3,1,0
2,20,2,1,2,5,No roommate yet till next semester,1,0,2,1,3,1,3,1,1,17,2,2,2,1,1
2,20,2,1,2,2,She''s my friend and  i can't live alone,1,0,2,1,3,1,2,1,1,19,2,1,2,1,0
1,22,2,2,2,2,To save cost,1,1,2,2,2,0,3,0,1,16,2,2,2,1,1
1,23,1,1,1,1,Nil,1,0,2,1,3,0,2,0,0,,,,2,,0
1,22,2,1,2,2,He is my coursemate,1,0,2,1,3,0,1,1,0,,,,2,,0
2,20,2,2,2,2,We collect house together,1,0,2,2,3,0,1,1,1,19,2,1,2,1,0
2,28,2,1,2,5,I love my privacy,2,0,2,1,3,0,3,1,1,17,2,1,3,1,0
1,20,2,2,2,5,Because i want to be alone,2,0,2,1,2,0,1,1,1,20,1,1,2,2,0
2,27,1,1,2,1,Because they are my parent,1,0,2,1,3,1,2,1,1,20,2,1,3,2,0
2,18,1,1,1,2,I got space on campus,1,0,2,1,3,1,2,0,1,12,2,2,1,1,1
2,19,2,2,2,2,Because we are roommate,1,0,2,1,3,0,2,1,0,,,,1,,0
2,19,2,2,2,5,I'm living alone because i love and enjoy my space,1,0,2,2,3,0,2,1,0,,,,1,,0
1,22,2,2,2,1,It is difficult to get space,1,0,2,1,3,0,2,1,1,13,2,1,2,1,0
1,29,3,2,1,2,Because i can't afford the rent alone,1,0,2,1,2,0,3,1,0,,,,3,,0
1,23,2,2,2,1,Because they are my parent and they reside here,1,0,2,1,2,1,2,0,1,14,2,2,2,1,1
2,25,2,2,2,2,Because we collected house together,2,0,2,2,3,0,1,1,1,24,1,1,3,2,0
2,22,2,1,2,5,None,1,1,2,2,2,0,3,1,1,18,2,1,2,1,0
2,19,1,2,1,2,Best know to me,1,0,1,1,3,1,3,1,1,15,2,2,1,1,1
2,20,1,2,1,5,For enjoyment,1,1,1,2,2,1,2,1,1,18,2,2,2,1,1
2,18,2,1,1,2,It's school hostel,2,1,2,2,2,0,1,1,1,18,2,2,1,1,1
2,26,2,1,1,2,Yes,1,1,1,2,3,0,2,1,1,18,2,2,3,1,1
2,26,2,1,1,2,Yes,1,1,1,2,3,0,2,1,1,18,2,2,3,1,1
1,20,2,1,1,2,Nil,1,0,2,2,3,1,1,0,0,,,,2,,0
2,22,2,1,1,5,Nothing,1,0,1,2,3,0,1,0,0,,,,2,,0
1,22,1,2,2,1,They are my family,1,0,1,2,3,0,1,0,0,,,,2,,0
2,26,2,1,2,5,Just like being alone,1,0,2,1,3,1,2,1,1,21,2,2,3,2,1
1,25,1,1,2,2,He is my friend,1,0,1,2,3,0,2,0,1,18,2,2,3,1,1
2,27,2,1,2,5,I love it,1,0,2,2,2,1,2,0,1,20,2,2,3,2,1
2,24,2,1,1,2,I love my roommate,1,0,1,1,2,0,1,1,0,,,,2,,0
1,21,2,1,2,5,Just love it,1,0,1,2,3,0,1,1,0,,,,2,,0
2,25,2,1,1,2,Safety,1,0,1,1,3,1,2,1,1,20,2,2,3,2,1
1,21,3,2,1,2,Love,1,1,2,2,3,0,2,1,1,18,2,1,2,1,0
1,24,1,1,2,5,For privacy,1,0,2,2,2,1,2,1,1,19,2,2,2,1,1
1,28,1,1,2,5,I love and want it,1,0,2,1,2,1,2,0,1,20,2,2,3,2,1
2,26,2,1,1,2,Nil,1,0,2,2,3,0,2,0,0,,,,3,,0
2,20,2,1,2,5,Privacy,1,0,1,2,3,0,3,1,1,19,2,2,2,1,1
1,21,1,1,2,5,Long story,1,1,1,2,2,0,2,0,1,20,2,1,2,2,0
1,27,2,1,2,1,Family,1,0,2,1,2,0,1,1,0,,,,3,,0
2,19,2,1,1,5,Privacy,1,1,2,2,2,1,3,1,1,12,2,2,1,1,1
1,20,2,1,1,2,We are brother,1,0,1,2,3,1,2,1,1,13,2,1,2,1,0
2,22,2,2,1,2,School hostel rules,1,0,1,1,3,0,3,0,0,,,,2,,0
1,28,1,2,2,3,Marriage,2,1,2,1,2,0,1,1,1,22,2,1,3,2,0
2,26,2,1,1,2,School hostel setup,1,0,2,1,3,0,2,0,1,16,2,1,3,1,0
1,21,1,2,2,5,Privacy,1,0,2,2,2,1,1,0,1,17,2,1,2,1,0
1,25,1,1,2,5,Independent,1,0,2,1,2,0,2,0,1,19,2,2,3,1,1
1,23,2,2,1,2,Hostel,1,1,1,1,3,0,3,0,1,20,2,1,2,2,0
1,25,1,1,2,5,Independent,1,0,2,1,2,0,2,0,1,19,2,2,3,1,1
2,19,2,1,1,2,Hostel,1,1,2,1,3,0,2,0,1,18,2,1,1,1,0
1,20,1,2,2,2,Partnership,1,0,2,1,2,0,2,0,1,18,2,2,2,1,1
2,18,1,1,2,2,Friendship,1,0,2,1,3,0,1,1,0,,,,1,,0
2,22,2,2,2,5,Privacy,1,1,2,2,3,0,2,0,1,20,2,1,2,2,0
1,19,2,1,1,2,Hostel,1,1,1,1,3,0,3,1,0,,,,1,,0
2,20,1,1,1,2,Companionship,1,1,2,1,3,0,2,0,1,19,2,2,2,1,1
1,25,2,1,1,2,Friendship,1,1,1,2,2,0,2,1,1,20,2,1,3,2,0
1,22,2,1,2,1,Parent,1,1,1,1,3,0,3,0,1,18,2,2,2,1,1
2,29,3,2,2,3,Marriage,2,1,2,1,2,0,2,0,1,24,1,1,3,2,0
1,22,2,2,1,2,Hostel,1,0,2,2,3,0,3,0,1,22,2,1,2,2,0
2,23,1,1,1,2,Dependent,1,0,2,2,3,0,1,0,1,20,2,1,2,2,0
1,27,2,1,2,1,Parenthood,1,0,2,1,3,0,2,0,1,22,2,1,3,2,0
1,19,2,1,2,2,Friendship,1,0,1,1,3,0,3,1,0,,,,1,,0
2,22,2,1,1,1,Depending,1,0,1,1,3,0,2,0,1,21,2,1,2,2,0
1,18,2,1,2,5,Privacy,1,0,2,1,3,0,1,1,0,,,,1,,0
2,21,2,2,1,2,Love,1,0,1,1,3,0,3,0,1,20,2,1,2,2,0
2,21,1,1,2,2,Hostel,1,0,2,1,3,0,1,0,1,20,2,1,2,2,0
2,23,2,1,2,2,Parenthood,1,0,2,1,3,0,2,0,1,21,2,1,2,2,0
2,20,1,2,2,5,Privacy,1,0,2,1,3,0,1,0,1,17,2,1,2,1,0
1,21,1,1,1,2,School,1,0,1,2,2,0,3,1,0,,,,2,,0
1,23,1,1,2,5,To avoid roommates trouble,1,0,1,1,3,0,1,0,1,20,2,2,2,2,1
1,26,1,1,2,5,Privacy,1,0,2,2,2,0,2,1,0,,,,3,,0
2,23,2,1,1,2,Hostel,1,0,2,1,3,0,2,1,0,,,,2,,0
2,23,2,1,1,2,Hostel,1,0,2,1,3,0,2,1,0,,,,2,,0
2,22,1,1,1,2,School hostel,1,0,2,2,3,0,1,1,0,,,,2,,0
1,20,2,2,1,2,Hostel,1,1,1,2,2,1,3,0,0,,,,2,,0
2,24,1,1,2,5,Privacy,1,0,2,2,3,0,1,0,0,,,,2,,0
2,23,2,2,2,2,Friendship,1,0,2,1,3,1,3,0,0,,,,2,,0
1,25,2,2,2,5,Nothing,1,1,2,2,2,1,2,0,1,17,2,2,3,1,1
1,26,2,2,2,5,Privacy,1,0,2,1,2,1,2,0,1,16,2,2,3,1,1
2,23,1,1,1,2,Hostel,1,1,1,1,3,1,2,1,1,15,2,2,2,1,1
1,26,2,2,2,5,Privacy,1,0,2,1,2,1,2,0,1,16,2,2,3,1,1
2,20,2,1,2,1,Parenthood,1,1,1,2,3,0,3,0,1,20,2,1,2,2,0
1,29,1,2,2,3,Married,2,0,2,1,2,0,3,1,1,25,1,1,3,2,0
2,28,1,1,2,3,Marriage,2,0,2,2,2,0,2,0,1,26,1,1,3,2,0
1,27,1,1,2,2,Accommodation,1,0,2,1,2,0,2,0,1,20,2,1,3,2,0
1,21,2,1,2,2,Friend,1,0,2,1,2,0,3,1,1,19,2,2,2,1,1
2,23,2,2,2,1,Family,1,0,2,1,3,1,2,0,1,15,2,2,2,1,1
2,25,2,1,2,4,Lovers,1,1,1,1,3,0,1,1,1,20,2,1,3,2,0
1,24,2,1,2,5,For privacy,1,0,2,2,3,0,3,1,1,7,3,2,2,1,1
2,25,1,1,2,2,"I don't like to stay alone, and my parents are not in this Town",1,0,1,2,3,0,3,1,0,,,,3,,0
1,24,2,1,2,2,We are friends,1,1,2,2,3,0,3,0,0,,,,2,,0
2,22,2,2,2,2,The structure of the hostel ( maintenance),1,0,2,1,3,0,3,1,0,,,,2,,0
1,20,2,1,1,1,They are my parents.,1,0,1,2,3,0,3,1,0,,,,2,,0
1,25,2,1,2,2,We are friends,1,1,2,1,3,0,1,1,1,18,1,2,3,1,1
1,30,1,2,1,1,Brother,1,0,1,2,3,0,1,1,0,,,,3,,0
2,24,2,1,2,2,She needs help,1,1,2,1,3,0,3,1,1,19,2,1,2,1,0
